model,run,project,realm,comparison,regression coefficient,,,,,,,
MPI-ESM-1-2-HAM,r1i1p1f1,CMIP6,mass,wfo vs masso,0.271394715,,,,,,,
MPI-ESM1-2-HR,r1i1p1f1,CMIP6,mass,wfo vs masso,0.24282894,,,,,,,
MPI-ESM1-2-LR,r1i1p1f1,CMIP6,mass,wfo vs masso,0.012975099,,,,,,,
UKESM1-0-LL,r1i1p1f2,CMIP6,mass,wfo vs masso,0.966871551,,,,,,,
ACCESS1-0,r1i1p1,CMIP5,mass,wfo vs soga,0.523234755,,,,,,,
ACCESS1-3,r1i1p1,CMIP5,mass,wfo vs soga,1.243034012,,,,,,,
BCC-CSM1-1,r1i1p1,CMIP5,mass,wfo vs soga,,,,,,,,
BCC-CSM1.1(m),r1i1p1,CMIP5,mass,wfo vs soga,,,,,,,,
BNU-ESM,r1i1p1,CMIP5,mass,wfo vs soga,,,,,,,,
CMCC-CESM,r1i1p1,CMIP5,mass,wfo vs soga,-2.266515589,,,,,,,
CMCC-CM,r1i1p1,CMIP5,mass,wfo vs soga,0.229946118,,,,,,,
CMCC-CMS,r1i1p1,CMIP5,mass,wfo vs soga,2.26619136,,,,,,,
GFDL-CM3,r1i1p1,CMIP5,mass,wfo vs soga,0.930864143,,,,,,,
GFDL-ESM2G,r1i1p1,CMIP5,mass,wfo vs soga,1.024667589,,,,,,,
GFDL-ESM2M,r1i1p1,CMIP5,mass,wfo vs soga,0.821174314,,,,,,,
IPSL-CM5A-LR,r1i1p1,CMIP5,mass,wfo vs soga,0.260429479,,,,,,,
IPSL-CM5A-MR,r1i1p1,CMIP5,mass,wfo vs soga,0.329419921,,,,,,,
IPSL-CM5B-LR,r1i1p1,CMIP5,mass,wfo vs soga,0.677734407,,,,,,,
MIROC4h,r1i1p1,CMIP5,mass,wfo vs soga,,,,,,,,
MIROC-ESM,r1i1p1,CMIP5,mass,wfo vs soga,0.648499877,,,,,,,
MIROC-ESM-CHEM,r1i1p1,CMIP5,mass,wfo vs soga,1.044600194,,,,,,,
MPI-ESM-LR,r1i1p1,CMIP5,mass,wfo vs soga,0.020490657,,,,,,,
MPI-ESM-MR,r1i1p1,CMIP5,mass,wfo vs soga,0.05249827,,,,,,,
MPI-ESM-P,r1i1p1,CMIP5,mass,wfo vs soga,0.099828649,,,,,,,
NorESM1-M,r1i1p1,CMIP5,mass,wfo vs soga,0.845039208,,,,,,,
NorESM1-ME,r1i1p1,CMIP5,mass,wfo vs soga,0.855441211,,,,,,,
ACCESS-CM2,r1i1p1f1,CMIP6,mass,wfo vs soga,0.867322131,,,,,,,
ACCESS-ESM1-5,r1i1p1f1,CMIP6,mass,wfo vs soga,0.859371187,,,,,,,
BCC-CSM2-MR,r1i1p1f1,CMIP6,mass,wfo vs soga,,,,,,,,
BCC-ESM1,r1i1p1f1,CMIP6,mass,wfo vs soga,,,,,,,,
CNRM-CM6-1,r1i1p1f2,CMIP6,mass,wfo vs soga,0.871236975,,,,,,,
CNRM-ESM2-1,r1i1p1f2,CMIP6,mass,wfo vs soga,0.850545768,,,,,,,
E3SM-1-0,r1i1p1f1,CMIP6,mass,wfo vs soga,-0.003617739,,,,,,,
E3SM-1-1,r1i1p1f1,CMIP6,mass,wfo vs soga,0.05238027,,,,,,,
EC-Earth3,r1i1p1f1,CMIP6,mass,wfo vs soga,0.80969913,,,,,,,
EC-Earth3-Veg,r1i1p1f1,CMIP6,mass,wfo vs soga,0.798801683,,,,,,,
GFDL-CM4,r1i1p1f1,CMIP6,mass,wfo vs soga,,,,,,,,
GISS-E2-1-G,r1i1p1f1,CMIP6,mass,wfo vs soga,-0.017527622,,,,,,,
GISS-E2-1-G-CC,r1i1p1f1,CMIP6,mass,wfo vs soga,0.138804773,,,,,,,
HadGEM3-GC31-LL,r1i1p1f1,CMIP6,mass,wfo vs soga,0.855931503,,,,,,,
IPSL-CM6A-LR,r1i1p1f1,CMIP6,mass,wfo vs soga,0.861454076,,,,,,,
MPI-ESM-1-2-HAM,r1i1p1f1,CMIP6,mass,wfo vs soga,0.23472683,,,,,,,
MPI-ESM1-2-HR,r1i1p1f1,CMIP6,mass,wfo vs soga,0.21005497,,,,,,,
MPI-ESM1-2-LR,r1i1p1f1,CMIP6,mass,wfo vs soga,0.01166174,,,,,,,
UKESM1-0-LL,r1i1p1f2,CMIP6,mass,wfo vs soga,0.783063321,,,,,,,
ACCESS1-0,r1i1p1,CMIP5,mass,masso vs soga,1.105999258,,,,,,,
ACCESS1-3,r1i1p1,CMIP5,mass,masso vs soga,1.286225176,,,,,,,
BCC-CSM1-1,r1i1p1,CMIP5,mass,masso vs soga,2.534138285,,,,,,,
BCC-CSM1.1(m),r1i1p1,CMIP5,mass,masso vs soga,-3.735233884,,,,,,,
BNU-ESM,r1i1p1,CMIP5,mass,masso vs soga,0.824741274,,,,,,,
CMCC-CESM,r1i1p1,CMIP5,mass,masso vs soga,,,,,,,,
CMCC-CM,r1i1p1,CMIP5,mass,masso vs soga,0.33703129,,,,,,,
CMCC-CMS,r1i1p1,CMIP5,mass,masso vs soga,-5.00855041,,,,,,,
GFDL-CM3,r1i1p1,CMIP5,mass,masso vs soga,0.879338352,,,,,,,
GFDL-ESM2G,r1i1p1,CMIP5,mass,masso vs soga,0.472365454,,,,,,,
GFDL-ESM2M,r1i1p1,CMIP5,mass,masso vs soga,0.929239993,,,,,,,
IPSL-CM5A-LR,r1i1p1,CMIP5,mass,masso vs soga,0.809182621,,,,,,,
IPSL-CM5A-MR,r1i1p1,CMIP5,mass,masso vs soga,0.506668422,,,,,,,
IPSL-CM5B-LR,r1i1p1,CMIP5,mass,masso vs soga,1.41349032,,,,,,,
MIROC4h,r1i1p1,CMIP5,mass,masso vs soga,0.901041518,,,,,,,
MIROC-ESM,r1i1p1,CMIP5,mass,masso vs soga,0.930316175,,,,,,,
MIROC-ESM-CHEM,r1i1p1,CMIP5,mass,masso vs soga,0.963012539,,,,,,,
MPI-ESM-LR,r1i1p1,CMIP5,mass,masso vs soga,0.868168794,,,,,,,
MPI-ESM-MR,r1i1p1,CMIP5,mass,masso vs soga,0.871118658,,,,,,,
MPI-ESM-P,r1i1p1,CMIP5,mass,masso vs soga,0.875180881,,,,,,,
NorESM1-M,r1i1p1,CMIP5,mass,masso vs soga,0.167335119,,,,,,,
NorESM1-ME,r1i1p1,CMIP5,mass,masso vs soga,0.184953647,,,,,,,
ACCESS-CM2,r1i1p1f1,CMIP6,mass,masso vs soga,0.889154925,,,,,,,
ACCESS-ESM1-5,r1i1p1f1,CMIP6,mass,masso vs soga,0.930836109,,,,,,,
BCC-CSM2-MR,r1i1p1f1,CMIP6,mass,masso vs soga,,,,,,,,
BCC-ESM1,r1i1p1f1,CMIP6,mass,masso vs soga,,,,,,,,
CNRM-CM6-1,r1i1p1f2,CMIP6,mass,masso vs soga,0.915809889,,,,,,,
CNRM-ESM2-1,r1i1p1f2,CMIP6,mass,masso vs soga,0.940307741,,,,,,,
E3SM-1-0,r1i1p1f1,CMIP6,mass,masso vs soga,0.899361819,,,,,,,
E3SM-1-1,r1i1p1f1,CMIP6,mass,masso vs soga,0.873354415,,,,,,,
EC-Earth3,r1i1p1f1,CMIP6,mass,masso vs soga,0.91375317,,,,,,,
EC-Earth3-Veg,r1i1p1f1,CMIP6,mass,masso vs soga,0.9160767,,,,,,,
GFDL-CM4,r1i1p1f1,CMIP6,mass,masso vs soga,0.937916453,,,,,,,
GISS-E2-1-G,r1i1p1f1,CMIP6,mass,masso vs soga,0.962684989,,,,,,,
GISS-E2-1-G-CC,r1i1p1f1,CMIP6,mass,masso vs soga,0.990449221,,,,,,,
HadGEM3-GC31-LL,r1i1p1f1,CMIP6,mass,masso vs soga,0.859376335,,,,,,,
IPSL-CM6A-LR,r1i1p1f1,CMIP6,mass,masso vs soga,0.908936659,,,,,,,
MPI-ESM-1-2-HAM,r1i1p1f1,CMIP6,mass,masso vs soga,0.87609999,,,,,,,
MPI-ESM1-2-HR,r1i1p1f1,CMIP6,mass,masso vs soga,0.860891786,,,,,,,
MPI-ESM1-2-LR,r1i1p1f1,CMIP6,mass,masso vs soga,0.871449781,,,,,,,
UKESM1-0-LL,r1i1p1f2,CMIP6,mass,masso vs soga,0.809467804,,,,,,,
ACCESS1-0,r1i1p1,CMIP5,mass,wfa vs massa,0.360956522,,,,,,,
ACCESS1-3,r1i1p1,CMIP5,mass,wfa vs massa,0.01762023,,,,,,,
BCC-CSM1-1,r1i1p1,CMIP5,mass,wfa vs massa,0.067326188,,,,,,,
BCC-CSM1.1(m),r1i1p1,CMIP5,mass,wfa vs massa,,,,,,,,
BNU-ESM,r1i1p1,CMIP5,mass,wfa vs massa,0.000706568,,,,,,,
CMCC-CESM,r1i1p1,CMIP5,mass,wfa vs massa,-0.000483684,,,,,,,
CMCC-CM,r1i1p1,CMIP5,mass,wfa vs massa,0.046144401,,,,,,,
CMCC-CMS,r1i1p1,CMIP5,mass,wfa vs massa,,,,,,,,
GFDL-CM3,r1i1p1,CMIP5,mass,wfa vs massa,0.465753955,,,,,,,
GFDL-ESM2G,r1i1p1,CMIP5,mass,wfa vs massa,0.295231183,,,,,,,
GFDL-ESM2M,r1i1p1,CMIP5,mass,wfa vs massa,0.191240099,,,,,,,
IPSL-CM5A-LR,r1i1p1,CMIP5,mass,wfa vs massa,0.313041347,,,,,,,
IPSL-CM5A-MR,r1i1p1,CMIP5,mass,wfa vs massa,,,,,,,,
IPSL-CM5B-LR,r1i1p1,CMIP5,mass,wfa vs massa,,,,,,,,
MIROC4h,r1i1p1,CMIP5,mass,wfa vs massa,0.241323667,,,,,,,
MIROC-ESM,r1i1p1,CMIP5,mass,wfa vs massa,0.260131041,,,,,,,
MIROC-ESM-CHEM,r1i1p1,CMIP5,mass,wfa vs massa,0.244786827,,,,,,,
MPI-ESM-LR,r1i1p1,CMIP5,mass,wfa vs massa,0.027157379,,,,,,,
MPI-ESM-MR,r1i1p1,CMIP5,mass,wfa vs massa,0.008623778,,,,,,,
MPI-ESM-P,r1i1p1,CMIP5,mass,wfa vs massa,0.004347721,,,,,,,
NorESM1-M,r1i1p1,CMIP5,mass,wfa vs massa,0.082335077,,,,,,,
NorESM1-ME,r1i1p1,CMIP5,mass,wfa vs massa,,,,,,,,
ACCESS-CM2,r1i1p1f1,CMIP6,mass,wfa vs massa,0.152919255,,,,,,,
ACCESS-ESM1-5,r1i1p1f1,CMIP6,mass,wfa vs massa,0.03256765,,,,,,,
BCC-CSM2-MR,r1i1p1f1,CMIP6,mass,wfa vs massa,0.080205266,,,,,,,
BCC-ESM1,r1i1p1f1,CMIP6,mass,wfa vs massa,0.041318706,,,,,,,
CNRM-CM6-1,r1i1p1f2,CMIP6,mass,wfa vs massa,,,,,,,,
CNRM-ESM2-1,r1i1p1f2,CMIP6,mass,wfa vs massa,0.507189869,,,,,,,
E3SM-1-0,r1i1p1f1,CMIP6,mass,wfa vs massa,0.151489611,,,,,,,
E3SM-1-1,r1i1p1f1,CMIP6,mass,wfa vs massa,0.488401492,,,,,,,
EC-Earth3,r1i1p1f1,CMIP6,mass,wfa vs massa,-0.110549553,,,,,,,
EC-Earth3-Veg,r1i1p1f1,CMIP6,mass,wfa vs massa,0.207648694,,,,,,,
GFDL-CM4,r1i1p1f1,CMIP6,mass,wfa vs massa,0.105675182,,,,,,,
GISS-E2-1-G,r1i1p1f1,CMIP6,mass,wfa vs massa,0.014743543,,,,,,,
